MatrixName,Size,MemoryPre,MemoryPost,MemoryDiff,Time,Error
cfd1.mat,14503159,26664584,1012986456,986321872,82.453,4.525125569752032E-11
cfd2.mat,23748539,40562520,1968096888,1927534368,124.346,2.1927722216622213E-11
ex15.mat,568315,3531152,10855392,7324240,0.01,8.007992883722316E-7
shallow_water1.mat,2316415,8939776,301870632,292930856,10.353,2.9863681564206695E-16
