MatrixName,Size,MemoryPre,MemoryPost,MemoryDiff,Time,Error
cfd1.mat,14503159,25254176,1012435544,987181368,75.504,-3.985297064253685E-11
cfd2.mat,23748539,40560688,1968095160,1927534472,78.951,-1.7879435923682786E-11
ex15.mat,568315,3531032,9877440,6346408,0.019,-2.6375588596769347E-9
shallow_water1.mat,2316415,8939944,301916752,292976808,7.526,1.7874245903380365E-15
